,Date,Open,High,Low,Close,Volume,RSI,Stochastic Oscillator,SMAs,SMAm,MACD,A/D
0,2019-03-01,2339.97,2349.46,2330.85,2333.11,20112068.0,,,,,,-15227245.465878122
1,2019-03-04,2341.55,2349.08,2321.71,2328.05,25995529.0,,,,,,-29179540.71651718
2,2019-03-05,2325.8,2338.74,2318.81,2321.32,15909279.0,,,,,,-41081565.29704866
3,2019-03-06,2325.09,2329.4,2317.0,2327.16,20220415.0,,,,,,-28166590.55511389
4,2019-03-07,2326.78,2335.46,2305.25,2308.48,16175290.0,,,,,,-40883013.511088714
5,2019-03-08,2305.19,2305.19,2286.94,2298.97,14503984.0,,,,,,-36265580.79656857
6,2019-03-11,2303.15,2313.54,2297.59,2300.22,17658030.0,,,,,,-48100335.69939059
7,2019-03-12,2312.75,2319.74,2298.8,2310.1,18228820.0,,,,,,-46655262.0986266
8,2019-03-13,2306.15,2316.63,2301.22,2314.79,27007570.0,,,,,,-26097261.05385086
9,2019-03-14,2319.32,2323.52,2310.25,2319.28,17674350.0,,,,,,-19717446.698160768
10,2019-03-15,2323.39,2360.92,2317.73,2346.25,70608206.0,,,,,,2924916.1890814714
11,2019-03-18,2351.02,2358.84,2342.69,2345.84,17179993.0,,,,,,-7553283.875933852
12,2019-03-19,2346.73,2365.96,2346.73,2352.42,18352200.0,,,,,,-15044951.582642026
13,2019-03-20,2353.1,2357.16,2344.13,2351.83,15974697.0,67.92306599150788,82.1184510250568,2325.558571428571,,,-12139346.679342026
14,2019-03-21,2352.81,2359.36,2344.94,2359.02,17889316.0,71.33811533449673,91.21741331308522,2327.4092857142855,,,4906367.733972458
15,2019-03-22,2358.11,2361.06,2319.1,2319.1,15736309.0,43.58985023958083,40.69855732725875,2326.77,,,-10829941.266027542
16,2019-03-25,2314.98,2320.57,2304.66,2312.79,13412020.0,40.88290505415145,32.71323715515049,2326.160714285714,,,-10534893.685889347
17,2019-03-26,2314.0,2325.05,2312.43,2324.91,12798900.0,47.612373363347636,48.051126297139724,2326.0,,,1980037.0589594413
18,2019-03-27,2326.64,2331.21,2312.75,2315.17,16891636.0,43.34243151991088,35.7251328777525,2326.4778571428574,,,-10482805.970292872
19,2019-03-28,2315.21,2325.26,2310.92,2313.77,11713850.0,42.74898484929627,23.66535029983891,2327.535,,,-17540523.12510478
20,2019-03-29,2318.66,2330.52,2304.77,2312.09,26232506.0,42.00572135533158,19.788564621798677,2328.382857142857,,,-28858703.383745223
21,2019-04-01,2325.38,2347.72,2325.38,2340.74,14670200.0,56.042072707982165,61.04417670682706,2330.5714285714284,,,-23355736.687236868
22,2019-04-02,2342.08,2382.89,2342.08,2371.14,16645463.0,65.56555550794292,84.9801866291704,2334.5964285714285,,,-16295384.701694122
23,2019-04-03,2381.44,2408.37,2381.44,2407.63,20779343.0,73.09924921862917,99.28647189277815,2340.907142857143,,,3341981.7799252216
24,2019-04-04,2404.61,2413.5,2386.49,2388.59,20824124.0,65.09631828493792,77.11319367879473,2343.9314285714286,,,-14244033.341880983
25,2019-04-05,2388.47,2408.44,2351.08,2351.08,23736163.0,52.82616382513976,42.64976111723632,2344.305714285714,,,-37980196.341880985
26,2019-04-08,2356.5,2362.51,2349.48,2359.52,14391487.0,54.886691026473436,50.404263138552054,2344.812857142857,,,-30193551.418627378
27,2019-04-09,2364.84,2377.22,2357.72,2367.84,19736792.0,56.88591695014799,58.04851157662643,2345.9564285714287,,,-29444565.465806164
28,2019-04-10,2368.97,2391.8,2366.48,2391.8,22589323.0,62.095427958658696,80.06247703050369,2348.297857142857,,,-6855242.465806164
29,2019-04-11,2393.53,2396.5,2371.04,2374.97,16255664.0,56.89505695277637,64.59941198088924,2352.2885714285717,,,-18092465.02668619
30,2019-04-12,2381.56,2385.27,2364.83,2366.71,14629625.0,54.48337879003913,56.96679849167667,2356.14,,,-30030926.13236119
31,2019-04-15,2364.12,2372.85,2351.38,2358.19,15284682.0,52.03335191274644,49.13087464361268,2358.5171428571425,,,-35619410.23576127
