Date,Open,High,Low,Close,Volume,RSI,Stochastic Oscillator,SMAs,SMAm,MACD,A/D,Target,TargetClass,TargetNextClose
2019-07-02,2334.6,2341.09,2310.49,2341.09,22876390.0,62.54839056404198,77.77554506179057,2313.174285714286,2268.134,3.852343765833641,35901170.43756203,6.829999999999927,1,2345.56
2019-07-03,2338.73,2349.15,2330.53,2345.56,19650157.0,63.38780053341258,81.09063638311542,2317.657142857143,2267.4790000000003,3.654906758793345,47974091.81672387,6.019999999999982,1,2356.49
2019-07-04,2350.47,2357.89,2338.9,2356.49,13908735.0,65.42823438185792,92.80051424898195,2321.677857142857,2267.3016,3.858045198965464,59832039.13899859,-17.379999999999654,0,2342.01
2019-07-05,2359.39,2359.39,2334.27,2342.01,22830756.0,60.60911458420546,77.28733661881317,2325.6457142857143,2266.7292,2.671207613292715,51070554.75046405,1.400000000000091,1,2339.07
2019-07-08,2337.67,2349.35,2326.33,2339.07,22636798.0,59.6484644634152,73.45794392523374,2330.107857142857,2266.064,1.4057435883031673,53489604.40641588,-13.269999999999982,0,2312.63
2019-07-09,2325.9,2327.02,2303.2,2312.63,24567522.0,51.7105682522767,23.64130434782647,2329.212857142857,2265.1414,-1.3455833240380244,48373949.11170602,0.4499999999998181,1,2312.77
2019-07-10,2312.32,2340.95,2305.66,2312.77,33895638.0,51.74718502552381,23.85265700483111,2328.717142857143,2263.9518,-3.184650844274288,28136457.11227301,-5.230000000000018,0,2316.95
2019-07-11,2322.18,2338.33,2308.2,2316.95,23025409.0,52.89566075409482,30.16304347826079,2329.3335714285718,2262.9292,-4.090443067328476,18484584.703710068,-8.25,0,2315.36
2019-07-12,2323.61,2325.05,2314.42,2315.36,21936314.0,52.38490781197999,27.762681159420683,2328.210714285714,2262.5522,-4.722698262639014,427882.2107657567,5.650000000000091,1,2324.21
2019-07-15,2318.56,2334.1,2316.89,2324.21,20051320.0,54.990042961495455,37.79904306220077,2329.703571428572,2262.6548,-4.473341491261536,-2566417.173312921,-4.9699999999998,0,2321.52
2019-07-16,2326.49,2330.5,2317.18,2321.52,30053394.0,54.02253558248974,30.52824529245142,2330.014285714285,2263.2826,-4.410739303157527,-13035467.335474666,-10.779999999999745,0,2306.67
2019-07-17,2317.45,2320.49,2301.63,2306.67,33032265.0,48.90690405061168,8.18447547905159,2327.9814285714288,2264.74,-5.234442804907532,-28413160.161561444,20.759999999999764,1,2321.41
2019-07-18,2300.65,2324.71,2291.66,2321.41,28496534.0,53.60332348886025,41.57931516422072,2327.534285714285,2266.7318,-4.6701906174601415,-5607310.712242514,18.870000000000346,1,2344.03
2019-07-19,2325.16,2348.86,2325.16,2344.03,28618974.0,59.72193716613401,77.3217185885137,2328.555,2270.0244,-2.752046225259477,11346714.391555265,-3.099999999999909,0,2342.51
